"","id","Identifier","type","rightsHolder","creator","accessURI","format","variantLiteral","license","scientificName","kingdom","family","vernacularName"
"11","101909773@OBS","https://observation.org/photos/8444637/","StillImage","jan katsman","jan katsman","https://observation.org/photos/8444637.jpg","image/jpeg","Best Quality","CC BY-ND 4.0","Lanius senator","Animalia","SHRIKES_LANIIDAE","Woodchat Shrike"
"12","101962558@OBS","https://observation.org/photos/8454288/","StillImage","Wilbert Koch","Wilbert Koch","https://observation.org/photos/8454288.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Poecile montanus","Animalia","TITS_PARIDAE","Willow Tit"
"13","101962903@OBS","https://observation.org/photos/8454317/","StillImage","Wilbert Koch","Wilbert Koch","https://observation.org/photos/8454317.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Sylvia curruca","Animalia","OLD_WORLD_WARBLERS_SYLVIIDAE","Lesser Whitethroat"
"14","101963121@OBS","https://observation.org/photos/8454420/","StillImage","Wilbert Koch","Wilbert Koch","https://observation.org/photos/8454420.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Grus grus","Animalia","CRANES_GRUIDAE","Common Crane"
"15","102022972@OBS","https://observation.org/photos/8463533/","StillImage","Wilbert Koch","Wilbert Koch","https://observation.org/photos/8463533.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Mustela vison","Animalia","WEASELS_AND_RELATIVES_MUSTELIDAE","Mink"
"16","102190095@OBS","https://observation.org/photos/8655580/","StillImage","yves hoebeke","yves hoebeke","https://observation.org/photos/8655580.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Lanius excubitor","Animalia","SHRIKES_LANIIDAE","Great Grey Shrike"
"17","102204497@OBS","https://observation.org/photos/8688156/","StillImage","yves hoebeke","yves hoebeke","https://observation.org/photos/8688156.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Locustella luscinioides","Animalia","Locustellidae","Savi's Warbler"
"18","102214667@OBS","https://observation.org/photos/8687262/","StillImage","yves hoebeke","yves hoebeke","https://observation.org/photos/8687262.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Dryocopus martius","Animalia","WOODPECKERS_PICIDAE","Black Woodpecker"
"19","102242175@OBS","https://observation.org/photos/8688078/","StillImage","yves hoebeke","yves hoebeke","https://observation.org/photos/8688078.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Anthus trivialis","Animalia","PIPITS_EN_WAGTAILS_MOTACILLIDAE","Tree Pipit"
"20","102242176@OBS","https://observation.org/photos/8688109/","StillImage","yves hoebeke","yves hoebeke","https://observation.org/photos/8688109.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Clanga pomarina","Animalia","HAWKS_AND_EAGLES_ACCIPITRIDAE","Lesser Spotted Eagle"
"21","102242177@OBS","https://observation.org/photos/8688043/","StillImage","yves hoebeke","yves hoebeke","https://observation.org/photos/8688043.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Sylvia communis","Animalia","OLD_WORLD_WARBLERS_SYLVIIDAE","Common Whitethroat"
"22","102242178@OBS","https://observation.org/photos/8688037/","StillImage","yves hoebeke","yves hoebeke","https://observation.org/photos/8688037.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Emberiza citrinella","Animalia","BUNTINGS_EMBERIZIDAE","Yellowhammer"
"23","102258961@OBS","https://observation.org/photos/8688011/","StillImage","yves hoebeke","yves hoebeke","https://observation.org/photos/8688011.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Dryocopus martius","Animalia","WOODPECKERS_PICIDAE","Black Woodpecker"
"24","102258963@OBS","https://observation.org/photos/8698653/","StillImage","yves hoebeke","yves hoebeke","https://observation.org/photos/8698653.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Certhia familiaris","Animalia","TREECREEPERS_CERTHIIDAE","Eurasian Treecreeper"
"25","102258990@OBS","https://observation.org/photos/8648135/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8648135.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Nyctereutes procyonoides","Animalia","DOGS_CANIDAE","Raccoon Dog"
"26","102279074@OBS","https://observation.org/photos/8596220/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8596220.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Ficedula parva","Animalia","OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE","Red-breasted Flycatcher"
"27","102279075@OBS","https://observation.org/photos/8596318/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8596318.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Luscinia luscinia","Animalia","OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE","Thrush Nightingale"
"28","102301468@OBS","https://observation.org/photos/8719553/","StillImage","yves hoebeke","yves hoebeke","https://observation.org/photos/8719553.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Locustella fluviatilis","Animalia","Locustellidae","River Warbler"
"29","102301482@OBS","https://observation.org/photos/8713372/","StillImage","yves hoebeke","yves hoebeke","https://observation.org/photos/8713372.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Ficedula parva","Animalia","OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE","Red-breasted Flycatcher"
"30","102302153@OBS","https://observation.org/photos/8596351/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8596351.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Ficedula albicollis","Animalia","OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE","Collared Flycatcher"
"31","102307234@OBS","https://observation.org/photos/8518514/","StillImage","jan katsman","Jan Katsman","https://observation.org/photos/8518514.jpg","image/jpeg","Best Quality","CC BY-ND 4.0","Epitheca bimaculata","Animalia","EMERALDS_CORDULIIDAE","Eurasian Baskettail"
"32","102307300@OBS","https://observation.org/photos/8518618/","StillImage","jan katsman","Jan Katsman","https://observation.org/photos/8518618.jpg","image/jpeg","Best Quality","CC BY-ND 4.0","Cordulia aenea","Animalia","EMERALDS_CORDULIIDAE","Downy Emerald"
"33","102307327@OBS","https://observation.org/photos/8518634/","StillImage","jan katsman","Jan Katsman","https://observation.org/photos/8518634.jpg","image/jpeg","Best Quality","CC BY-ND 4.0","Podiceps grisegena","Animalia","GREBES_PODICIPEDIDAE","Red-necked Grebe"
"34","102332531@OBS","https://observation.org/photos/8720737/","StillImage","yves hoebeke","yves hoebeke","https://observation.org/photos/8720737.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Perdix perdix","Animalia","FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE","Grey Partridge"
"35","102332532@OBS","https://observation.org/photos/8720744/","StillImage","yves hoebeke","yves hoebeke","https://observation.org/photos/8720744.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Acrocephalus schoenobaenus","Animalia","Acrocephalidae","Sedge Warbler"
"36","102332534@OBS","https://observation.org/photos/8720722/","StillImage","yves hoebeke","yves hoebeke","https://observation.org/photos/8720722.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Chlidonias niger","Animalia","GULLS_TERNS_AND_SKIMMERS_LARIDAE","Black Tern"
"37","102332535@OBS","https://observation.org/photos/8720719/","StillImage","yves hoebeke","yves hoebeke","https://observation.org/photos/8720719.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Acrocephalus arundinaceus","Animalia","Acrocephalidae","Great Reed Warbler"
"38","102332539@OBS","https://observation.org/photos/8720706/","StillImage","yves hoebeke","yves hoebeke","https://observation.org/photos/8720706.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Turdus pilaris","Animalia","THRUSHES_TURDIDAE","Fieldfare"
"39","102365902@OBS","https://observation.org/photos/8602835/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8602835.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Phylloscopus sibilatrix","Animalia","LEAF_WARBLERS_AND_ALLIES_PHYLLOSCOPIDAE","Wood Warbler"
"40","102365903@OBS","https://observation.org/photos/8602830/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8602830.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Ficedula hypoleuca","Animalia","OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE","European Pied Flycatcher"
"41","102365905@OBS","https://observation.org/photos/8602832/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8602832.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Jynx torquilla","Animalia","WOODPECKERS_PICIDAE","Eurasian Wryneck"
"42","102409241@OBS","https://observation.org/photos/8596354/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8596354.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Haliaeetus albicilla","Animalia","HAWKS_AND_EAGLES_ACCIPITRIDAE","White-tailed Eagle"
"43","102409280@OBS","https://observation.org/photos/8602844/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8602844.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Carpodacus erythrinus","Animalia","FINCHES_FRINGILLIDAE","Common Rosefinch"
"44","102409284@OBS","https://observation.org/photos/8602850/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8602850.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Carpodacus erythrinus","Animalia","FINCHES_FRINGILLIDAE","Common Rosefinch"
"45","102409288@OBS","https://observation.org/photos/8602855/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8602855.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Gallinago gallinago","Animalia","SANDPIPERS_AND_ALLIES_SCOLOPACIDAE","Common Snipe"
"46","102409304@OBS","https://observation.org/photos/8602843/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8602843.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Carpodacus erythrinus","Animalia","FINCHES_FRINGILLIDAE","Common Rosefinch"
"47","102409312@OBS","https://observation.org/photos/8602837/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8602837.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Ficedula albicollis","Animalia","OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE","Collared Flycatcher"
"48","102437943@OBS","https://observation.org/photos/8603433/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8603433.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Chlidonias leucopterus","Animalia","GULLS_TERNS_AND_SKIMMERS_LARIDAE","White-winged Tern"
"49","102449781@OBS","https://observation.org/photos/8603568/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8603568.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Martes martes","Animalia","WEASELS_AND_RELATIVES_MUSTELIDAE","Pine Marten"
"50","102458066@OBS","https://observation.org/photos/8603407/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8603407.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Grus grus","Animalia","CRANES_GRUIDAE","Common Crane"
"51","102458072@OBS","https://observation.org/photos/8603379/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8603379.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Emberiza citrinella","Animalia","BUNTINGS_EMBERIZIDAE","Yellowhammer"
"52","102467210@OBS","https://observation.org/photos/8582753/","StillImage","Sander Wansing","Sander Wansing","https://observation.org/photos/8582753.jpg","image/jpeg","Best Quality","CC BY 4.0","Deilephila elpenor","Animalia","Sphingidae","Elephant Hawk-moth"
"53","102467211@OBS","https://observation.org/photos/8582767/","StillImage","Sander Wansing","Sander Wansing","https://observation.org/photos/8582767.jpg","image/jpeg","Best Quality","CC BY 4.0","Lycaena dispar","Animalia","GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE","Large Copper"
"54","102467212@OBS","https://observation.org/photos/8582784/","StillImage","Sander Wansing","Sander Wansing","https://observation.org/photos/8582784.jpg","image/jpeg","Best Quality","CC BY 4.0","Ciconia nigra","Animalia","STORKS_CICONIIDAE","Black Stork"
"55","102482788@OBS","https://observation.org/photos/8603459/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8603459.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Falco vespertinus","Animalia","CARACAS_AND_FALCONS_FALCONIDAE","Red-footed Falcon"
"56","102506068@OBS","https://observation.org/photos/8603335/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8603335.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Remiz pendulinus","Animalia","PENDULINE_TITS_REMIZIDAE","Eurasian Penduline Tit"
"57","102506069@OBS","https://observation.org/photos/8603363/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8603363.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Motacilla citreola","Animalia","PIPITS_EN_WAGTAILS_MOTACILLIDAE","Citrine Wagtail"
"58","102506098@OBS","https://observation.org/photos/8603330/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8603330.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Bucephala clangula","Animalia","DUCKS_GEESE_AND_SWANS_ANATIDAE","Common Goldeneye"
"59","102506105@OBS","https://observation.org/photos/8603321/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8603321.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Ficedula hypoleuca","Animalia","OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE","European Pied Flycatcher"
"60","102544502@OBS","https://observation.org/photos/8603441/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8603441.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Acrocephalus paludicola","Animalia","Acrocephalidae","Aquatic Warbler"
"61","102544518@OBS","https://observation.org/photos/8603349/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8603349.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Haliaeetus albicilla","Animalia","HAWKS_AND_EAGLES_ACCIPITRIDAE","White-tailed Eagle"
"62","102544525@OBS","https://observation.org/photos/8603448/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8603448.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Phylloscopus trochiloides","Animalia","LEAF_WARBLERS_AND_ALLIES_PHYLLOSCOPIDAE","Greenish Warbler"
"63","102563404@OBS","https://observation.org/photos/8569871/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8569871.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Melanargia galathea","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","Marbled White"
"64","102563407@OBS","https://observation.org/photos/8569873/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8569873.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Polyommatus icarus","Animalia","GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE","Common Blue"
"65","102563411@OBS","https://observation.org/photos/8569878/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8569878.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Lycaena phlaeas","Animalia","GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE","Small Copper"
"66","102563414@OBS","https://observation.org/photos/8569884/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8569884.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Polygonia c-album","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","Comma Butterfly"
"67","102563448@OBS","https://observation.org/photos/8569888/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8569888.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Aphantopus hyperantus","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","Ringlet"
"68","102563451@OBS","https://observation.org/photos/8569889/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8569889.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Aglais urticae","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","Small Tortoiseshell"
"69","102563458@OBS","https://observation.org/photos/8569892/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8569892.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Araschnia levana","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","Map Butterfly"
"70","102563470@OBS","https://observation.org/photos/8569894/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8569894.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Lycaena virgaureae","Animalia","GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE","Scarce Copper"
"71","102563478@OBS","https://observation.org/photos/8569900/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8569900.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Pieris napi","Animalia","WHITES_PIERIDAE","Green-veined White"
"72","102563480@OBS","https://observation.org/photos/8569902/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8569902.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Aphantopus hyperantus","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","Ringlet"
"73","102595323@OBS","https://observation.org/photos/8603415/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8603415.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Sylvia nisoria","Animalia","OLD_WORLD_WARBLERS_SYLVIIDAE","Barred Warbler"
"74","102595330@OBS","https://observation.org/photos/8603375/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8603375.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Phylloscopus sibilatrix","Animalia","LEAF_WARBLERS_AND_ALLIES_PHYLLOSCOPIDAE","Wood Warbler"
"75","102595354@OBS","https://observation.org/photos/8603368/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8603368.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Alces alces","Animalia","DEER_CERVIDAE","Elk"
"76","102639949@OBS","https://observation.org/photos/8585395/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8585395.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Argynnis paphia","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","Silver-washed Fritillary"
"77","102641156@OBS","https://observation.org/photos/8585698/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8585698.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Lycaena alciphron","Animalia","GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE","Purple-shot Copper"
"78","102641373@OBS","https://observation.org/photos/8585751/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8585751.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Nymphalis antiopa","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","Camberwell Beauty"
"79","102641442@OBS","https://observation.org/photos/8585754/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8585754.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Araschnia levana","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","Map Butterfly"
"80","102641667@OBS","https://observation.org/photos/8585781/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8585781.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Issoria lathonia","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","Queen of Spain Fritillary"
"81","102642031@OBS","https://observation.org/photos/8585877/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8585877.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Boloria selene","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","Small Pearl-bordered Fritillary"
"82","102642594@OBS","https://observation.org/photos/8585954/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8585954.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Apatura iris","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","Purple Emperor"
"83","102645901@OBS","https://observation.org/photos/8586441/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8586441.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Brenthis daphne","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","Marbled Fritillary"
"84","102646143@OBS","https://observation.org/photos/8586509/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8586509.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Apatura iris","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","Purple Emperor"
"85","102646309@OBS","https://observation.org/photos/8586636/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8586636.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Fabriciana adippe","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","High Brown Fritillary"
"86","102647850@OBS","https://observation.org/photos/8586826/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8586826.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Hyponephele lycaon","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","Dusky Meadow Brown"
"87","102648301@OBS","https://observation.org/photos/8586891/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8586891.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Polyommatus daphnis","Animalia","GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE","Meleager's Blue"
"88","102648861@OBS","https://observation.org/photos/8587018/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8587018.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Satyrium ilicis","Animalia","GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE","Ilex Hairstreak"
"89","102649032@OBS","https://observation.org/photos/8587074/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/8587074.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Limenitis camilla","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","White Admiral"
"90","102690658@OBS","https://observation.org/photos/8596509/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8596509.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Locustella fluviatilis","Animalia","Locustellidae","River Warbler"
"91","102719972@OBS","https://observation.org/photos/8603344/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8603344.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Acrocephalus schoenobaenus","Animalia","Acrocephalidae","Sedge Warbler"
"92","102720156@OBS","https://observation.org/photos/8603382/","StillImage","Filip Goussaert","Filip Goussaert","https://observation.org/photos/8603382.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Emberiza citrinella","Animalia","BUNTINGS_EMBERIZIDAE","Yellowhammer"
"93","102759362@OBS","https://observation.org/photos/8612118/","StillImage","jan katsman","jan katsman","https://observation.org/photos/8612118.jpg","image/jpeg","Best Quality","CC BY-ND 4.0","Sympecma paedisca","Animalia","SPREADWINGS_LESTIDAE","Siberian Winter Damsel"
"94","102943288@OBS","https://observation.org/photos/8709338/","StillImage","Paul Schrijvershof","Paul Schrijvershof","https://observation.org/photos/8709338.jpg","image/jpeg","Best Quality","CC BY-NC 4.0","Zootoca vivipara","Animalia","Lacertidae","Common Lizard"
"95","102943292@OBS","https://observation.org/photos/8709336/","StillImage","Paul Schrijvershof","Paul Schrijvershof","https://observation.org/photos/8709336.jpg","image/jpeg","Best Quality","CC BY-NC 4.0","Laothoe populi","Animalia","Sphingidae","Poplar Hawk-moth"
"96","102943338@OBS","https://observation.org/photos/8727869/","StillImage","Paul Schrijvershof","Paul Schrijvershof","https://observation.org/photos/8727869.jpg","image/jpeg","Best Quality","CC BY-NC 4.0","Papilio machaon","Animalia","SWALLOWTAILS_PAPILIONIDAE","Swallowtail"
"97","102943347@OBS","https://observation.org/photos/8653578/","StillImage","Paul Schrijvershof","Paul Schrijvershof","https://observation.org/photos/8653578.jpg","image/jpeg","Best Quality","CC BY-NC 4.0","Lacerta agilis","Animalia","Lacertidae","Sand Lizard"
"98","102960836@OBS","https://observation.org/photos/9900536/","StillImage","Paul Schrijvershof","Paul Schrijvershof","https://observation.org/photos/9900536.jpg","image/jpeg","Best Quality","CC BY-NC 4.0","Drepana falcataria","Animalia","Drepanidae","Pebble Hook-tip"
